confidence_threshold,coverage,n_covered,n_deferred,accuracy,precision_inj,recall_inj,f1_inj
0.5000,1.0000,4546,0,0.9089,0.9495,0.8747,0.9106
0.5500,0.9982,4538,8,0.9097,0.9499,0.8756,0.9113
0.6000,0.9956,4526,20,0.9105,0.9511,0.8760,0.9120
0.6500,0.9932,4515,31,0.9118,0.9519,0.8777,0.9133
0.7000,0.9897,4499,47,0.9129,0.9531,0.8786,0.9143
0.7500,0.9875,4489,57,0.9142,0.9548,0.8796,0.9156
0.8000,0.9855,4480,66,0.9145,0.9556,0.8795,0.9160
0.8500,0.9815,4462,84,0.9157,0.9559,0.8815,0.9172
0.9000,0.9762,4438,108,0.9171,0.9566,0.8833,0.9185
0.9500,0.9670,4396,150,0.9215,0.9582,0.8900,0.9228
0.9900,0.9402,4274,272,0.9317,0.9647,0.9028,0.9327
