defense,scope,n,accuracy,precision,recall,f1,auc,accuracy_lo,accuracy_hi,precision_lo,precision_hi,recall_lo,recall_hi,f1_lo,f1_hi,auc_lo,auc_hi
DeBERTa,overall,4546,0.9089,0.9495,0.8747,0.9106,0.9655,0.8999,0.9171,0.9399,0.9581,0.8609,0.8876,0.9015,0.9187,0.9602,0.9703
DeBERTa,deepset,546,0.7802,0.956,0.4286,0.5918,0.8812,0.7454,0.8132,0.91,0.9898,0.3622,0.5,0.5239,0.6565,0.846,0.9148
DeBERTa,neuralchemy,2000,0.9015,0.9846,0.85,0.9124,0.97,0.888,0.914,0.9762,0.9914,0.8284,0.8702,0.8994,0.9244,0.9622,0.9774
DeBERTa,spml,2000,0.9515,0.9154,0.995,0.9535,0.9978,0.9415,0.961,0.8982,0.9322,0.9901,0.999,0.9439,0.9632,0.9959,0.9991
PG2,overall,4546,0.7323,0.9838,0.5033,0.6659,0.9334,0.7197,0.7451,0.9762,0.9904,0.4859,0.5226,0.65,0.6829,0.9265,0.9401
PG2,deepset,546,0.7234,0.9815,0.2611,0.4125,0.9483,0.6832,0.7619,0.9375,1.0,0.2009,0.3223,0.3333,0.4842,0.9294,0.9641
PG2,neuralchemy,2000,0.701,0.9706,0.5203,0.6775,0.8536,0.6805,0.7195,0.9565,0.9827,0.4914,0.5474,0.6514,0.7003,0.8362,0.8679
PG2,spml,2000,0.766,1.0,0.532,0.6945,0.9953,0.7475,0.7835,1.0,1.0,0.5,0.5615,0.6667,0.7192,0.9934,0.9969
OR-gate,overall,4546,0.9138,0.9473,0.8867,0.916,,0.905,0.9217,0.9372,0.9557,0.8735,0.8988,0.9069,0.9238,,
OR-gate,deepset,546,0.7949,0.9505,0.4729,0.6316,,0.7619,0.8261,0.9024,0.9889,0.4059,0.5423,0.5675,0.6921,,
OR-gate,neuralchemy,2000,0.908,0.9794,0.8658,0.9191,,0.8955,0.92,0.9704,0.987,0.8453,0.884,0.9073,0.9302,,
OR-gate,spml,2000,0.952,0.9154,0.996,0.954,,0.942,0.9615,0.8983,0.9322,0.9919,0.999,0.9448,0.9634,,
AND-gate,overall,4546,0.7275,0.9891,0.4913,0.6565,,0.7149,0.74,0.9828,0.9943,0.4733,0.5108,0.6399,0.6739,,
AND-gate,deepset,546,0.7088,1.0,0.2167,0.3563,,0.6667,0.7473,1.0,1.0,0.1606,0.2737,0.2768,0.4298,,
AND-gate,neuralchemy,2000,0.6945,0.9791,0.5046,0.6659,,0.674,0.7135,0.9672,0.9887,0.4753,0.5318,0.6391,0.6894,,
AND-gate,spml,2000,0.7655,1.0,0.531,0.6937,,0.747,0.783,1.0,1.0,0.499,0.561,0.6658,0.7188,,
Mean-score,overall,4546,0.8966,0.9792,0.8224,0.894,0.969,0.8876,0.9056,0.9724,0.9851,0.8072,0.837,0.8844,0.9034,0.9636,0.9736
Mean-score,deepset,546,0.7656,1.0,0.3695,0.5396,0.9508,0.7234,0.8022,1.0,1.0,0.3049,0.4335,0.4673,0.6048,0.9325,0.9657
Mean-score,neuralchemy,2000,0.846,0.9828,0.7581,0.8559,0.9575,0.83,0.861,0.9735,0.9903,0.7328,0.782,0.8397,0.8711,0.9483,0.966
Mean-score,spml,2000,0.983,0.9745,0.992,0.9832,0.9983,0.9775,0.989,0.965,0.984,0.986,0.997,0.9777,0.9888,0.9973,0.9993
