subcategory,n,deberta_recall,deberta_lo,deberta_hi,pg2_recall,pg2_lo,pg2_hi,delta,cis_overlap
direct_injection,637,0.981,0.9673633913996454,0.9891914499929052,0.743,0.7072059451676974,0.7749725964151709,0.238,False
adversarial,174,0.718,0.6474001935910172,0.7799467282345949,0.069,0.03988808810204384,0.11666403987372159,0.649,False
jailbreak,133,0.519,0.43455287512403684,0.6019857590230282,0.489,0.40528512668555877,0.5727916928262022,0.03,True
encoding,81,0.667,0.5585283506058686,0.7597122875833263,0.062,0.026652512097029166,0.1364924763684212,0.605,False
training_extraction,31,0.935,0.7928136326370188,0.9821252164780854,0.129,0.05134284374629147,0.2885240625630642,0.806,False
system_manipulation,13,0.923,0.6668604907890041,0.9862895787574435,0.538,0.29143795714506016,0.767939321904617,0.385,True
token_smuggling,12,1.0,0.7575059933447592,1.0,0.75,0.46769466506643426,0.9110583316059453,0.25,True
rag_poisoning,12,1.0,0.7575059933447592,1.0,0.75,0.46769466506643426,0.9110583316059453,0.25,True
persona_replacement,11,0.818,0.5230194380391557,0.9486323102539149,0.455,0.21271271622459764,0.719908462590678,0.363,True
agent_manipulation,11,0.636,0.35380117450784887,0.8483352890463243,0.273,0.09746059290024892,0.5656453011761292,0.363,True
instruction_override,10,1.0,0.7224672001371109,1.0,0.7,0.39677814746114526,0.892208732593699,0.3,True
control,8,0.25,0.071479212752109,0.5907245696898311,0.0,0.0,0.32440756488388023,0.25,True
context_confusion,7,1.0,0.6456695649333126,1.0,0.429,0.1582198552514697,0.7495416354723428,0.571,True
prompt_injection,7,1.0,0.6456695649333126,1.0,0.571,0.2504583645276572,0.8417801447485302,0.429,True
model_fingerprinting,7,0.286,0.08221892400405673,0.6410655481673807,0.143,0.02567962434474358,0.5131278292743189,0.143,True
output_manipulation,7,0.857,0.4868721707256811,0.9743203756552565,0.286,0.08221892400405673,0.6410655481673807,0.571,True
response_manipulation,6,1.0,0.6096657120978346,1.0,0.833,0.43649717781352976,0.9699466302516933,0.167,True
prompt_extraction,6,0.833,0.43649717781352976,0.9699466302516933,0.167,0.03005336974830669,0.5635028221864702,0.666,True
system_extraction,5,0.8,0.3755346297625253,0.9637758913675698,0.0,0.0,0.43448246478317476,0.8,True
multi_turn,5,1.0,0.5655175352168251,1.0,0.4,0.11762077423264794,0.769275718723987,0.6,True
payload_injection,5,1.0,0.5655175352168251,1.0,0.6,0.23072428127601297,0.8823792257673521,0.4,True
crescendo,4,0.25,0.04558726080970055,0.6993581574175981,0.25,0.04558726080970055,0.6993581574175981,0.0,True
indirect_injection,4,1.0,0.5101091635454027,1.0,0.75,0.30064184258240184,0.9544127391902995,0.25,True
encoding_obfuscation,3,0.333,0.06149194472039626,0.7923403991979523,0.0,0.0,0.5614970317550454,0.333,True
code_execution,2,1.0,0.34238022750665303,1.0,0.0,0.0,0.6576197724933469,1.0,True
token_injection,2,1.0,0.34238022750665303,1.0,1.0,0.34238022750665303,1.0,0.0,True
many_shot,2,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423074,0.9054687942657693,0.0,True
chain_of_thought,1,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,1.0,True
prompt_leak,1,1.0,0.20654931437723745,1.0,1.0,0.20654931437723745,1.0,0.0,True
