defense,scope,n,accuracy,precision,recall,f1,accuracy_lo,accuracy_hi,precision_lo,precision_hi,recall_lo,recall_hi,f1_lo,f1_hi
A: DeBERTa alone,overall,500,0.864,0.9598,0.761,0.8489,0.834,0.892,0.9272,0.985,0.7101,0.8097,0.8138,0.8817
A: DeBERTa alone,deepset,167,0.6826,0.9697,0.381,0.547,0.6168,0.7545,0.8966,1.0,0.2759,0.4815,0.4259,0.6452
A: DeBERTa alone,neuralchemy,167,0.9521,0.9872,0.9167,0.9506,0.9162,0.982,0.9583,1.0,0.8519,0.9667,0.9139,0.9809
A: DeBERTa alone,spml,166,0.9578,0.9318,0.988,0.9591,0.9217,0.988,0.87,0.9778,0.96,1.0,0.924,0.987
A: PG2 alone,overall,500,0.71,0.9818,0.4303,0.5983,0.67,0.748,0.9505,1.0,0.368,0.4902,0.5346,0.6561
A: PG2 alone,deepset,167,0.6108,1.0,0.2262,0.3689,0.5389,0.6828,1.0,1.0,0.1358,0.3226,0.2391,0.4878
A: PG2 alone,neuralchemy,167,0.7725,0.96,0.5714,0.7164,0.7126,0.8323,0.902,1.0,0.465,0.6706,0.6212,0.7922
A: PG2 alone,spml,166,0.747,1.0,0.494,0.6613,0.6747,0.8133,1.0,1.0,0.382,0.6076,0.5528,0.7559
A: DeBERTa+PG2 ensemble,overall,500,0.866,0.9554,0.7689,0.8521,0.836,0.896,0.9223,0.981,0.7187,0.8167,0.8162,0.8841
A: DeBERTa+PG2 ensemble,deepset,167,0.6946,0.9714,0.4048,0.5714,0.6228,0.7665,0.9,1.0,0.2976,0.5125,0.4545,0.6765
A: DeBERTa+PG2 ensemble,neuralchemy,167,0.9461,0.9747,0.9167,0.9448,0.9102,0.976,0.9383,1.0,0.8519,0.9667,0.9041,0.9753
A: DeBERTa+PG2 ensemble,spml,166,0.9578,0.9318,0.988,0.9591,0.9217,0.988,0.87,0.9778,0.96,1.0,0.924,0.987
B: Sonnet judge alone,overall,500,0.708,1.0,0.4183,0.5899,0.664,0.746,1.0,1.0,0.3595,0.4756,0.5289,0.6446
B: Sonnet judge alone,deepset,167,0.7425,1.0,0.4881,0.656,0.6766,0.8084,1.0,1.0,0.3768,0.5921,0.5474,0.7438
B: Sonnet judge alone,neuralchemy,167,0.7485,1.0,0.5,0.6667,0.6826,0.8084,1.0,1.0,0.4,0.6047,0.5714,0.7536
B: Sonnet judge alone,spml,166,0.6325,1.0,0.2651,0.419,0.5602,0.7048,1.0,1.0,0.1724,0.36,0.294,0.5294
C: DeBERTa + B,overall,500,0.916,0.9644,0.8645,0.9118,0.89,0.938,0.9355,0.9866,0.8207,0.9049,0.8807,0.9363
C: DeBERTa + B,deepset,167,0.8323,0.9828,0.6786,0.8028,0.7784,0.8862,0.9434,1.0,0.5813,0.7742,0.7287,0.8677
C: DeBERTa + B,neuralchemy,167,0.9581,0.9873,0.9286,0.9571,0.9281,0.982,0.9595,1.0,0.8717,0.9762,0.9222,0.9831
C: DeBERTa + B,spml,166,0.9578,0.9318,0.988,0.9591,0.9217,0.988,0.87,0.9778,0.96,1.0,0.924,0.987
C: PG2 + B,overall,500,0.802,0.9872,0.6135,0.7568,0.766,0.834,0.9645,1.0,0.5569,0.672,0.7113,0.8
C: PG2 + B,deepset,167,0.8144,1.0,0.631,0.7737,0.7545,0.8743,1.0,1.0,0.525,0.7387,0.6885,0.8497
C: PG2 + B,neuralchemy,167,0.8084,0.9643,0.6429,0.7714,0.7485,0.8623,0.913,1.0,0.5375,0.7429,0.6885,0.8421
C: PG2 + B,spml,166,0.7831,1.0,0.5663,0.7231,0.7108,0.8434,1.0,1.0,0.4505,0.6709,0.6212,0.803
C: Ensemble + B,overall,500,0.918,0.9605,0.8725,0.9144,0.892,0.942,0.9312,0.9833,0.8306,0.9109,0.8844,0.9388
C: Ensemble + B,deepset,167,0.8443,0.9833,0.7024,0.8194,0.7904,0.8982,0.9452,1.0,0.6104,0.7977,0.7482,0.8811
C: Ensemble + B,neuralchemy,167,0.9521,0.975,0.9286,0.9512,0.9162,0.982,0.939,1.0,0.8717,0.9762,0.9136,0.9809
C: Ensemble + B,spml,166,0.9578,0.9318,0.988,0.9591,0.9217,0.988,0.87,0.9778,0.96,1.0,0.924,0.987
